帧编号,帧id,阶段,PGN,报文代号,报文描述,优先权,源地址-目的地址,帧长度,帧数据,帧数据含义
1,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
2,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
3,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
4,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
5,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
6,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
7,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
8,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
9,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
10,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
11,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
12,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
13,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
14,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
15,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
16,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
17,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
18,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
19,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
20,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
21,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
22,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
23,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
24,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
25,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
26,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
27,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
28,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
29,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
30,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
31,0x1826F456,充电握手阶段,9728,CHM,充电机握手,6,充电机-BMS,8,0x010100FFFFFFFFFF,充电机通信协议版本号为V1.1；
